Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
3,73,28,13.4,35.8,70.5
3,74,28,106.8,34.4,70.1
3,75,27,36.6,32.5,93.2
3,76,29,27.4,32.4,155.6
3,77,29,0.0,31.8,78.4
3,78,29,0.0,29.4,83.7
3,79,26,0.0,32.0,117.9
3,80,27,0.0,32.0,74.7
3,81,28,2.2,34.1,84.8
3,82,28,55.1,32.0,72.5
3,83,29,243.8,32.2,70.4
3,84,30,64.4,31.7,64.6
3,85,30,11.0,35.0,89.4
3,86,29,2.8,36.3,79.4
3,87,30,25.0,34.9,96.7
3,88,30,8.0,33.6,59.0
3,89,30,0.0,32.9,58.6
3,90,30,0.0,31.4,81.0
3,91,31,3.2,31.3,65.1
3,92,30,0.0,33.3,62.2
3,93,30,5.5,33.8,77.0
3,94,31,16.4,33.5,71.0
3,95,33,45.4,33.0,119.2
3,96,33,32.2,33.6,62.6
3,97,33,10.6,34.7,54.6
3,98,30,73.5,35.0,59.7
3,99,29,4.4,33.2,57.8
3,100,29,4.0,32.9,97.8
3,101,29,0.0,30.2,55.4
3,102,29,0.0,30.0,75.8
3,103,30,0.0,31.3,81.1
3,104,30,0.0,33.8,108.6
3,105,32,4.6,35.1,85.4
3,106,31,68.2,33.9,90.9
3,107,29,0.0,34.6,101.3
3,108,29,14.6,34.8,84.8
3,109,29,9.4,35.3,83.3
3,110,29,4.4,36.5,96.3
3,111,24,37.8,35.1,45.0
3,112,22,4.3,33.4,51.6
3,113,23,2.2,32.3,76.3
3,114,23,0.0,31.4,102.2
3,115,23,0.0,30.6,51.1
3,116,22,0.0,34.3,71.0
3,117,21,0.0,34.2,61.0
3,118,22,50.4,34.4,80.1
3,119,22,66.0,34.3,78.4
3,120,22,198.2,33.1,71.2
3,121,22,13.2,35.1,71.1
3,122,22,153.0,33.1,160.1
3,123,23,25.8,33.8,70.7
3,124,23,21.8,32.6,77.6
3,125,23,15.4,31.0,46.2
3,126,23,0.0,30.4,80.9
3,127,23,0.0,30.7,102.0
3,128,21,0.0,32.2,86.2
3,129,21,15.4,34.4,129.5
4,1,32,5.2,34.5,86.5
4,3,35,4.4,37.9,89.0
4,5,34,0.0,34.4,68.7
4,6,35,0.6,31.9,86.3
4,8,37,0.0,32.1,69.3
4,9,37,0.0,34.0,197.4
4,10,39,0.8,36.0,69.9
4,11,38,81.0,34.7,84.8
4,13,37,3.2,34.7,84.0
4,15,38,35.2,34.1,74.3
4,16,36,7.2,33.6,81.6
4,17,34,0.0,32.0,69.3
4,18,34,0.0,30.7,42.8
4,19,36,0.0,32.6,85.4
4,20,37,0.0,33.6,81.6
4,21,39,0.0,35.2,82.9
4,22,40,26.2,33.1,58.7
4,23,38,24.0,31.9,69.7
4,24,37,61.0,32.0,48.8
4,25,37,0.0,34.1,62.3
4,26,37,43.4,33.3,56.8
4,27,37,58.0,32.9,54.1
